stars,profile_name,profile_link,profile_image,title,date,style,verified,comment,voting,review_images,ASIN
2.0 out of 5 stars,Feraco,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/299c71d3-c6e8-4d54-88ef-35e1eee6c03d._CR63,0,373,373_SX48_.jpg",,"Reviewed in Mexico on September 19, 2018",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,"Es un simple maquillaje pero más como grasocito no se de donde dicen q ayuda en algo a la piel , a mi me saco muchos granitos no se si fue alergia pero resulta q compre 3 tonos w que es 4; 4.5 y 6 y no noto cuál es l diferencia de los 3 eso sí que el,4 que me saco alergia casualmente es el q me saco más granitos no trae fecha de caducidad cosa q me extraño ya q los otros si lo traen eso me deja mucho q desear y dudar u no traen sello de tapa solo lo abres y ya pero nada q denote q es 100% nuevo tendré q ver si L’Oréal los envasa así sin sello de garantía",2 people found this helpful,0,B001126Y1K
5.0 out of 5 stars,Nancy Hiwatari,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/5c7acf85-5fdc-4e99-a673-f509060ed1e3._CR0,48.0,236,236_SX48_.jpg",,"Reviewed in Mexico on February 16, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,"Ya tenía tiempo que no encontraba una base tan buena y tan ligera que no se notará que venías maquillada. Es cierto que se amolda al tono de tu piel siempre y cuando compres uno que esté más o menos del estilo o del color. No deja una sensación grasosa y me lo he puesto con los dedos, con una esponja, y con una brocha y los resultados son muy buenos con las tres cosas.La cobertura de la base es excelente si necesitas cubrir ya simplemente utilizas un corrector Para algunas cosas más oscuras. Me dura todo el día y se quita fácilmente con cualquier desmaquillante.Vale su precio sinceramente y su calidad",,0,B001126Y1K
5.0 out of 5 stars,D.tona,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/e1e61521-d20c-49e4-bbe3-d753f700c8ee._CR1,0,958,958_SX48_.jpg",,"Reviewed in Mexico on April 26, 2020",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,"Fue un regalo y no he tenido queja alguna. Creo es la base para el maquillaje, no le he visto mal.",,0,B001126Y1K
5.0 out of 5 stars,Viri Villarreal,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on April 14, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Mi base favorita de siempre. Desde que la conocí no la suelto. Se adapta totalmente a mi tono de piel y queda divina por horas si la sello.,,0,B001126Y1K
3.0 out of 5 stars,V.M.G.,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on October 18, 2017",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,"Es un buen maquillaje, pero creo que le sienta mejor a las pieles secas ya que es muy humectante y transfiere un poco.",,0,B001126Y1K
5.0 out of 5 stars,Cliente de Amazon,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on August 18, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Super cobertura,,0,B001126Y1K
5.0 out of 5 stars,LUIS&CLAU,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on August 1, 2018",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,"Me gusta las de alta gama,Esta esta muy aceptable",,0,B001126Y1K
5.0 out of 5 stars,Paul Raymont,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Canada on January 21, 2018",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,No problems. Prompt service.,,0,B001126Y1K
3.0 out of 5 stars,"Khushi, Arti",,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in India on June 28, 2016",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Jus ok,,0,B001126Y1K
5.0 out of 5 stars,Jessica Garcia,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on November 24, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Es bueno pero dura poco,,0,B001126Y1K
5.0 out of 5 stars,Paty,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on February 25, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Bueno,,0,B001126Y1K
5.0 out of 5 stars,Lore,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on March 8, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,"Buen producto lindo tono, me gusto!",,0,B001126Y1K
1.0 out of 5 stars,Gabriela Palomo,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on August 26, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,"Es muy ligero y no cubre para nada bien,",,0,B001126Y1K
5.0 out of 5 stars,Javier Armando Ramírez Melgarejo,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on November 23, 2018",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Excelente,,0,B001126Y1K
1.0 out of 5 stars,José Hernandez,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on November 4, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Feos,,0,B001126Y1K
4.0 out of 5 stars,Ángeles Uribe,,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on August 19, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Buen producto.,,0,B001126Y1K
5.0 out of 5 stars,Buyer,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in India on April 10, 2019",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Loved it,,0,B001126Y1K
1.0 out of 5 stars,ROHIT KHARRA,,"https://images-eu.ssl-images-amazon.com/images/S/amazon-avatars-global/655c32c4-4100-4e91-8e02-58bd1f785587._CR0,0,400,400_SX48_.jpg",,"Reviewed in India on August 7, 2016",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,Totally fake,,0,B001126Y1K
2.0 out of 5 stars,Cliente ;),,"https://images-na.ssl-images-amazon.com/images/S/amazon-avatars-global/default._CR0,0,1024,1024_SX48_.png",,"Reviewed in Mexico on November 18, 2018",Size: 1 Fl Oz (Pack of 1)Color: W4 Natural Beige,Verified Purchase,"No estoy muy segura de usarlo.. Es diferente al original ( el que compre en el súper mercado ).. Para empezar esté No viene sellado, es más grasoso, más líquido, no trae los destellos dorados, aparté el tono es tirandole más al rosado. x(",6 people found this helpful,3,B001126Y1K
